,Time_index,Frequency,Bandwidth,Amplitude
31,"[31, 31, 31, 31, 31]","[17, 160, 285, 463, 604]","[12.704905442862081, 22.56279112959234, 44.46095357797765, 45.76116381303933, 39.826516625807926]","[32.64694202577385, 0.6929354003030355, 1.0511843665688798, 5.404697502213317, 1.0613983240911107]"
32,"[32, 32, 32, 32, 32]","[14, 160, 287, 463, 604]","[9.076401820991405, 23.44816070120038, 45.23656924656518, 46.45657257372807, 41.068363912246014]","[30.18590801978276, 0.7449844863044898, 1.090475506766838, 5.150163383098317, 1.0077561513871405]"
33,"[33, 33, 33, 33]","[159, 288, 463, 604]","[22.877150553105025, 52.4469541272087, 44.132940477881846, 42.67266879933629]","[0.7908893085304105, 1.0902759470254089, 5.104507941690547, 0.8904973531485966]"
34,"[34, 34, 34, 34]","[159, 289, 462, 603]","[22.6545953879598, 54.86369477351104, 42.96763408666294, 42.27656121995142]","[0.8097364139645999, 1.0232822309687064, 4.826812946573741, 0.8400331788748008]"
35,"[35, 35, 35, 35]","[159, 289, 462, 603]","[23.038199419189624, 57.496003440628044, 42.676123927150456, 42.00723397659294]","[0.8439227640789709, 1.0021189797969796, 4.6875122394098065, 0.819339056158051]"
36,"[36, 36, 36, 36]","[159, 289, 462, 603]","[22.96271039143386, 52.038229419680135, 41.68599996045435, 42.43901402350514]","[0.8734396371700137, 0.9836078653764254, 4.693956529405453, 0.7950508845322878]"
37,"[37, 37, 37]","[159, 288, 462]","[22.34073840839406, 68.96768661282215, 37.089673614087076]","[0.8153699293300911, 0.9541341362105467, 4.676516862610757]"
38,"[38, 38, 38]","[159, 288, 461]","[22.197503168145033, 70.04184368810206, 31.978985676598143]","[0.8289543206400131, 0.9628218646640481, 4.2102756489271815]"
39,"[39, 39, 39]","[160, 288, 460]","[22.91679288793145, 50.16867862735319, 32.53910125370413]","[0.9317368070480516, 0.9369731448204134, 3.7167352684221866]"
40,"[40, 40, 40, 40]","[15, 160, 287, 460]","[9.41076224657733, 23.860324969058894, 54.96660654429462, 32.32420861645335]","[40.878401759214675, 1.0134849691109349, 0.9518854099172742, 3.6459249546463326]"
41,"[41, 41, 41, 41]","[15, 160, 287, 460]","[10.787357855919623, 23.772754008592727, 52.83046108740007, 28.634715378237047]","[41.27444894772341, 0.9759853815014723, 1.0029857327307081, 3.5055781164862743]"
