,Time_index,Frequency,Bandwidth,Amplitude
1156,"[1156, 1156, 1156, 1156, 1156, 1156]","[20, 194, 517, 670, 966, 1100]","[26.618953130190867, 117.71230652958707, 198.26926566578533, 73.57945697866637, 18.866049894887965, 77.15511290913241]","[112.0755590493559, 25.781577416050496, 30.9452413001092, 17.245282285286894, 15.199128026857824, 32.39440476736356]"
1157,"[1157, 1157, 1157, 1157, 1157, 1157]","[17, 194, 517, 671, 966, 1100]","[17.456323375406207, 118.9340064195469, 198.32571279870956, 73.04332221394759, 18.944144779968838, 78.9861609860261]","[114.4149623961228, 25.856393835898928, 30.94262910117011, 17.253386949841722, 15.145922874991985, 33.27658934487265]"
1158,"[1158, 1158, 1158, 1158, 1158, 1158]","[17, 195, 517, 699, 966, 1100]","[16.454786316334253, 119.1780593496589, 198.27933217228002, 62.892136390223754, 19.52126017105445, 80.4851369832736]","[114.66758280619254, 25.952800812744563, 30.93528373176301, 17.37460483631714, 15.192621144353712, 33.756724398145074]"
1159,"[1159, 1159, 1159, 1159, 1159, 1159]","[18, 196, 516, 671, 966, 1099]","[17.75095212881515, 119.76467691932814, 198.28197157597316, 53.32651474613738, 19.49625819357459, 76.72206310356773]","[113.40177600038245, 25.792669519725877, 30.9735178705752, 17.576991818721268, 15.313752395355067, 34.19104538229774]"
1160,"[1160, 1160, 1160, 1160, 1160, 1160]","[18, 196, 516, 671, 966, 1099]","[18.191849150165787, 120.0353403421716, 198.3066495725522, 50.5579677560836, 19.399740837277022, 70.78466163588632]","[113.85464489427872, 25.623027562733366, 31.064603049538622, 18.4558814979278, 15.378469092729032, 33.96583893434105]"
1161,"[1161, 1161, 1161, 1161, 1161, 1161]","[18, 196, 517, 692, 966, 1100]","[17.564332123554365, 119.88734163917971, 208.32928120852426, 48.439707650228, 19.397325433325932, 66.91738231955901]","[116.11491341215911, 25.610437483544647, 31.05627927642951, 20.569958493531434, 15.335607926077293, 30.915713614566727]"
1162,"[1162, 1162, 1162, 1162, 1162, 1162]","[17, 197, 516, 690, 966, 1097]","[16.198565004704108, 119.6222185167345, 209.7177775300217, 46.630219517153364, 19.504839077332463, 80.26284591164836]","[116.69908412512495, 25.531074600112856, 30.96742922369021, 21.37517781537125, 15.284553513287154, 26.969174399336023]"
1163,"[1163, 1163, 1163, 1163, 1163, 1163]","[17, 197, 516, 676, 966, 1099]","[15.717449279757068, 120.70559284322363, 210.16301646506702, 45.466839690254915, 20.11160368203457, 61.1073310873021]","[116.65774396838843, 25.377397857422615, 30.716400735786433, 20.644382904104276, 15.250308520995974, 26.117327658713414]"
1164,"[1164, 1164, 1164, 1164, 1164, 1164]","[17, 273, 515, 672, 966, 1099]","[15.525970358175497, 121.10148851988839, 210.30695968816593, 45.6745541988023, 20.109167539666032, 52.323334242759756]","[115.8870241678469, 26.345957526541188, 30.468826755313263, 20.961658046469474, 15.13347554958401, 25.98633478053869]"
1165,"[1165, 1165, 1165, 1165, 1165, 1165]","[17, 274, 514, 672, 966, 1099]","[15.881866309449597, 122.49348786186627, 211.38849420755884, 44.99309598664297, 19.847969807156232, 53.88986592078709]","[116.98927763296336, 25.865513825748828, 30.22080354117102, 21.241850751387478, 15.142381921715774, 23.224255211951505]"
1166,"[1166, 1166, 1166, 1166, 1166, 1166]","[194, 274, 513, 672, 966, 1100]","[52.08200672107475, 126.14314390284369, 203.76167757656174, 45.11099438547967, 19.835864176674363, 54.759901962920594]","[25.572101144833784, 25.574141582173457, 35.313050489034985, 22.109437016646808, 15.67163501729044, 22.605834413446328]"
1167,"[1167, 1167, 1167]","[146, 499, 1107]","[45.861888726319876, 129.35576761050464, 45.32481331301324]","[93.59771539201928, 157.16257968251927, 27.626530956653962]"
1168,"[1168, 1168, 1168, 1168]","[144, 360, 500, 1116]","[47.701504333142196, 42.459747366246745, 122.63864019095132, 32.46149463237953]","[196.23797668450717, 98.88931727128211, 270.95066177069106, 38.100588097356194]"
1169,"[1169, 1169, 1169, 1169]","[144, 360, 500, 1117]","[46.7850303388319, 42.69647221236329, 122.43250702986631, 29.955738601679514]","[196.77161255569217, 99.1822807380361, 271.71516825850193, 37.07409247304529]"
1170,"[1170, 1170, 1170, 1170]","[144, 361, 500, 1117]","[46.75275815955959, 42.74128377393498, 122.6462375656825, 30.575941164099504]","[196.8219638838077, 99.04350012403341, 271.63372492310316, 36.48940162545908]"
1171,"[1171, 1171, 1171, 1171]","[143, 360, 500, 1117]","[47.583330794775776, 44.391464754067556, 120.53993880003907, 30.999322209011325]","[195.7607550633846, 96.79724096024532, 265.1455530827949, 36.256437747892875]"
1172,"[1172, 1172, 1172, 1172, 1172]","[143, 268, 358, 499, 1117]","[50.8644039107206, 47.96976784919346, 47.166679104208356, 114.61746911093428, 32.13232778073984]","[193.11416553057344, 35.38125429665808, 91.22681017970446, 246.6349646281668, 35.734511924854075]"
1173,"[1173, 1173, 1173, 1173, 1173]","[143, 269, 358, 499, 1117]","[51.571187850091235, 48.346271300448564, 47.37253311949729, 115.46857882970909, 32.02755499529394]","[192.75382368917772, 32.831551732533974, 90.61122452785428, 243.96770480517102, 35.29025711330175]"
1174,"[1174, 1174, 1174, 1174, 1174]","[143, 269, 358, 499, 1117]","[51.61635860773377, 49.38076326219394, 47.36173256127739, 115.50657589781258, 32.961742777468544]","[192.8598994124684, 31.49423646298533, 90.76138380281458, 243.92236468086546, 35.04904803132213]"
1175,"[1175, 1175, 1175, 1175, 1175]","[143, 257, 358, 499, 1117]","[51.59575483138775, 49.62067598337754, 47.43133347558563, 115.32594684666446, 33.62480313424726]","[192.98647583797538, 30.98116440758021, 90.76572158160255, 243.9347393035429, 34.9466527509227]"
1176,"[1176, 1176, 1176, 1176, 1176]","[143, 255, 358, 499, 1117]","[51.59911407276853, 50.05559159025947, 47.44000299527647, 115.21837309538387, 34.3312536547578]","[192.942523920919, 30.543924620707806, 90.78857695068533, 243.83317810805187, 34.82122974805136]"
1177,"[1177, 1177, 1177, 1177]","[143, 358, 499, 1118]","[51.66407528609932, 47.34952150907759, 114.85323483354665, 34.28330684548882]","[192.7441843576441, 90.84062252821099, 243.76652328520078, 34.523881668068]"
1178,"[1178, 1178, 1178, 1178]","[143, 358, 499, 1118]","[51.68070535151362, 47.152220884966255, 114.45752142501897, 33.80070192002563]","[192.64995611585405, 90.84329623843858, 243.80709521729253, 33.837543255752024]"
1179,"[1179, 1179, 1179, 1179]","[143, 358, 499, 1118]","[51.68101126151453, 46.982427665161936, 114.36857043306264, 33.80307905792074]","[192.62517908976943, 90.75502406360135, 243.6997296192364, 33.28362824823913]"
1180,"[1180, 1180, 1180, 1180]","[143, 358, 499, 1118]","[51.70086838735833, 47.055047098658804, 114.209341658999, 33.65362400316417]","[192.59410605055075, 90.71851520520596, 243.56829230109338, 32.54967031281368]"
1181,"[1181, 1181, 1181, 1181, 1181]","[143, 251, 358, 499, 1118]","[51.63322679001162, 44.82777701638227, 47.13087566175085, 113.90571767854851, 33.727248050803155]","[192.66394281657537, 27.83143970698021, 90.78893620006431, 243.40958830065546, 31.80033074870905]"
1182,"[1182, 1182, 1182, 1182, 1182]","[143, 251, 358, 499, 1118]","[51.56607488097086, 44.523058281353144, 46.79792453617557, 113.66327155498715, 33.79225015153679]","[192.65069767553788, 27.79462234394385, 91.40234595290663, 243.30209639829937, 31.137758496467608]"
1183,"[1183, 1183, 1183, 1183, 1183]","[143, 251, 358, 499, 1119]","[51.896413847705404, 43.439618788051604, 46.20685954345953, 112.10547974024405, 33.914616845241426]","[190.49429788008194, 27.542341366974078, 91.50002099495839, 237.5261596837442, 30.08939397478471]"
1184,"[1184, 1184, 1184, 1184]","[140, 359, 500, 1119]","[51.93986570109797, 46.743737255492476, 94.82891413214173, 28.82790663465221]","[73.82881431054685, 37.45409912569841, 75.75806411390934, 12.435754966958214]"
1185,"[1185, 1185, 1185]","[84, 196, 362]","[31.428117649146273, 33.843196220824666, 60.079559992101224]","[7.265478775705841, 7.440896903623378, 4.6639778656809305]"
1186,"[1186, 1186]","[197, 360]","[40.79028465543621, 67.85075724801595]","[7.4324701917654625, 3.9290442188837824]"
1187,"[1187, 1187, 1187]","[198, 360, 635]","[49.35275753328895, 68.84585768197172, 25.265877654411156]","[7.678397181468636, 3.9158884789147854, 2.2683436955986624]"
1188,"[1188, 1188, 1188, 1188]","[216, 360, 634, 854]","[56.85070998561085, 69.6113977883548, 26.17121769006701, 72.0324597602513]","[8.281241834674658, 3.9576503365127413, 2.9978583318343563, 1.0033990984756231]"
1189,"[1189, 1189, 1189, 1189]","[218, 360, 633, 854]","[56.60695869390324, 98.34691281985891, 27.71005496037492, 76.19496759420758]","[9.080181729947535, 4.235040887408522, 3.2814951485610866, 1.0903960848308567]"
1190,"[1190, 1190, 1190, 1190]","[221, 358, 633, 854]","[54.338101233337056, 104.70318620128717, 31.313564921247803, 77.50427062858091]","[10.38036602926879, 4.63515391657363, 3.5780664605043615, 1.206183667052904]"
1191,"[1191, 1191, 1191, 1191, 1191]","[222, 358, 632, 827, 977]","[54.218659268142716, 104.62542887754347, 31.367672543359163, 126.25680551406913, 26.8372253165071]","[10.64940527294088, 4.556844454311505, 3.6242301288764684, 1.2416475096423356, 1.875399994957321]"
1192,"[1192, 1192, 1192, 1192, 1192]","[223, 358, 632, 827, 977]","[56.10583305129384, 101.67280302865862, 31.871734726625164, 124.33023512217471, 30.839660935763618]","[10.841952420087374, 4.478927955236714, 3.6888248077032824, 1.2959419432631167, 3.055563871996152]"
1193,"[1193, 1193, 1193, 1193]","[224, 358, 632, 978]","[56.65758502780605, 100.90882500090612, 31.312394135564887, 45.71822380338995]","[10.85609546231819, 4.383038226942007, 3.7257236846592843, 3.9349780829412024]"
1194,"[1194, 1194, 1194, 1194, 1194]","[224, 388, 632, 884, 979]","[55.85993637252966, 101.43784831428673, 31.146324903794834, 28.3294246213718, 49.545287839967614]","[10.940036879807035, 4.3760560843488685, 3.805326570919391, 1.9241475085750792, 4.753414937644771]"
1195,"[1195, 1195, 1195, 1195, 1195, 1195]","[224, 389, 489, 632, 886, 981]","[55.32769050714384, 100.05469982763407, 23.638883845638418, 32.358072098840466, 30.160524204986814, 46.59222116559033]","[11.042428127096295, 4.332371838798168, 2.986365639996912, 3.8726747520838254, 2.155907627479608, 5.607075965351263]"
1196,"[1196, 1196, 1196, 1196, 1196, 1196]","[224, 391, 490, 632, 887, 982]","[51.616012424737136, 99.4874734677017, 26.589139324468704, 34.14891174496336, 34.90039215917295, 51.35515252517723]","[11.11252632470236, 4.290413305264805, 3.260610366665197, 3.8828074964393218, 2.3436210826403663, 6.3782390302265775]"
1197,"[1197, 1197, 1197, 1197, 1197, 1197, 1197]","[97, 224, 359, 491, 632, 910, 985]","[25.789427368840634, 47.22730626209187, 99.5300106086475, 27.709168872687997, 36.64400059345007, 44.50775412152359, 75.60576498558783]","[3.544886852271217, 11.132636763066, 4.180930830652871, 3.322310665090919, 3.886069745365286, 2.7403201852349204, 7.121314103788554]"
1198,"[1198, 1198, 1198, 1198, 1198, 1198, 1198, 1198]","[15, 98, 225, 357, 492, 632, 909, 993]","[11.938398231500019, 25.182510759063163, 45.96750623185957, 99.13305230639509, 28.146411154483985, 32.61466944317749, 29.76471823358986, 77.58126873351785]","[24.376627675020075, 3.485463563124795, 11.326628553090313, 3.99600485851639, 3.349126117929532, 3.9233574307906625, 4.760245440063412, 7.3648996837103216]"
1199,"[1199, 1199, 1199, 1199, 1199, 1199, 1199]","[18, 94, 225, 495, 631, 909, 1021]","[15.299139412392028, 31.931918762080244, 48.05287152385873, 30.34831151620193, 32.0897173079951, 29.433219296237326, 79.10371695182346]","[24.471043017177827, 3.539078815550597, 11.154823794620821, 3.5214813953066275, 4.126685021863344, 5.353594579878723, 8.413386826416598]"
1200,"[1200, 1200, 1200, 1200, 1200, 1200, 1200]","[17, 92, 225, 496, 631, 911, 1022]","[14.338718395321399, 31.519506532201987, 48.39383417200969, 29.77761659151423, 32.68574824639131, 26.29578710833937, 76.20372743241376]","[26.64468578241717, 4.025360343143699, 11.09606185472083, 3.6552032360608604, 4.214032739990371, 6.784315163293481, 10.476494170746442]"
1201,"[1201, 1201, 1201, 1201, 1201, 1201]","[18, 226, 495, 631, 913, 1022]","[14.565990405276105, 42.29022450947397, 36.72996805860066, 29.60914877556297, 26.33884817066678, 77.07200868276652]","[35.74823961522689, 11.517047746048979, 5.074620166973215, 4.25587256332095, 9.001805168998958, 10.761391796069265]"
1202,"[1202, 1202, 1202, 1202, 1202, 1202, 1202, 1202, 1202]","[22, 115, 231, 396, 492, 696, 913, 1022, 1375]","[21.276338840950302, 37.527581298163255, 41.40805391715125, 45.94236087448678, 49.982070675210196, 46.5296325198766, 26.772516113780966, 79.27734661073112, 188.99623839638025]","[99.04021838336516, 18.03434981531227, 14.754702374354657, 8.274460683485275, 14.50124020862896, 4.992360466859984, 9.68314736572653, 12.32141081106241, 4.543105667468427]"
1203,"[1203, 1203, 1203, 1203, 1203, 1203, 1203, 1203, 1203]","[20, 115, 234, 394, 492, 695, 913, 1023, 1375]","[18.56119472838022, 37.68587560996818, 38.023350229728834, 40.33543671821997, 52.11928029656701, 52.51676646254987, 27.11343145959404, 79.19642090347861, 190.31050468687954]","[126.11192304794902, 21.724016184015632, 15.663707773404338, 9.719828205488962, 17.229436833669702, 5.927895706612894, 9.857702116027644, 13.220290984248939, 5.395773887673828]"
1204,"[1204, 1204, 1204, 1204, 1204, 1204, 1204, 1204, 1204]","[19, 115, 241, 394, 492, 692, 912, 1025, 1375]","[17.128964254325417, 37.3183591049233, 36.62484914235057, 41.90259094207141, 52.39944565328199, 60.126912130056894, 26.674833054793226, 82.44327290221884, 189.25638810861778]","[128.2630253250412, 21.739111266189276, 15.08785972591913, 9.710312195396261, 17.213809884051955, 6.21117561439434, 9.872244658344268, 13.701657171689636, 5.4094242100631424]"
1205,"[1205, 1205, 1205, 1205, 1205, 1205, 1205, 1205, 1205]","[18, 115, 245, 394, 492, 687, 913, 1030, 1375]","[16.65598306320798, 36.77107106445537, 32.74148139279933, 42.11554183284062, 53.20612026689537, 62.351401787190184, 26.108551869181724, 81.67028041379683, 188.7402056332328]","[129.91823326466945, 21.770364144071284, 15.080657302002788, 9.681650191488782, 17.17659520309232, 6.942352270259858, 9.826640435079822, 16.872473275751517, 5.421247588614305]"
1206,"[1206, 1206, 1206, 1206, 1206, 1206, 1206, 1206, 1206]","[18, 115, 247, 394, 492, 681, 912, 1031, 1375]","[16.607735499644498, 36.57138670346778, 34.89728247995549, 38.89835021332817, 54.5843996496489, 63.33818537517857, 26.460956551758045, 37.94776914639169, 188.46982427729017]","[130.54554257620592, 21.711016802334157, 14.945104930782058, 9.587630059617442, 17.017994850725703, 7.911444621513898, 9.628108910005832, 27.70125991002067, 5.430052822904137]"
1207,"[1207, 1207, 1207, 1207, 1207, 1207, 1207, 1207, 1207]","[18, 115, 249, 395, 493, 677, 912, 1031, 1375]","[16.05767326256238, 36.624745471321646, 42.71673041330115, 38.95841247184143, 56.37811879608233, 60.92230921885721, 27.078764382021518, 34.03844285757998, 187.71369135234113]","[130.73462251245584, 21.784021165675213, 14.88817183200663, 9.528267636998601, 16.80250071013758, 9.117620845014734, 9.48383240280538, 37.77389324017588, 5.472275836536362]"
1208,"[1208, 1208, 1208, 1208, 1208, 1208, 1208, 1208, 1208]","[17, 115, 251, 395, 493, 677, 912, 1032, 1374]","[15.040947976105121, 37.11655523434581, 44.704144960569806, 38.24804328263633, 56.62847576880279, 62.51413827348415, 27.055496192642067, 34.75736215818131, 123.39708966616968]","[130.31410123064046, 21.755150300668404, 14.872149163945274, 9.55761329763461, 16.684567195976687, 9.405191682740098, 9.504386294852573, 40.30311375338932, 5.494193556680117]"
1209,"[1209, 1209, 1209, 1209, 1209, 1209, 1209, 1209, 1209]","[16, 115, 252, 394, 493, 677, 912, 1032, 1374]","[14.020014281314836, 37.37889086864098, 41.40456383083887, 37.36379029844022, 56.659319018629674, 64.09203088377933, 26.8949578377526, 36.98848347810815, 188.52679429564432]","[130.70357940324902, 21.722202223136716, 14.939179022622893, 9.556068422113336, 16.677209301232594, 9.51585754182798, 9.598094400685902, 41.496924182023044, 5.4802828036386195]"
1210,"[1210, 1210, 1210, 1210, 1210, 1210, 1210, 1210, 1210]","[16, 116, 253, 394, 491, 676, 912, 1031, 1374]","[12.967839675846406, 37.79985317781079, 35.952314086475695, 37.756635453657964, 56.76315581189982, 65.7274433035011, 26.352501596662137, 38.77133973184016, 188.89624771088188]","[130.48482021077496, 21.77010268215565, 16.615603798159363, 9.504392915294641, 16.6135013604974, 9.60498888106451, 9.563959144447097, 42.59205741678548, 5.466285859150313]"
1211,"[1211, 1211, 1211, 1211, 1211, 1211, 1211, 1211, 1211]","[16, 116, 253, 395, 492, 676, 913, 1031, 1374]","[12.184347254008149, 37.774094439745426, 34.40222737935335, 38.283900349534235, 57.94878373581315, 64.15693702540511, 25.019419292142743, 45.75682139367814, 125.46362966909373]","[129.95113602095483, 21.875384308382102, 17.584276102084438, 9.611234937252949, 16.424991596039135, 9.693357756564, 9.333306509896353, 44.121149803457335, 5.474479786972928]"
1212,"[1212, 1212, 1212, 1212, 1212, 1212, 1212, 1212]","[115, 252, 395, 491, 676, 913, 1033, 1375]","[37.666875960902104, 37.31172515352998, 38.68438743269843, 60.65266686821775, 63.93440567789685, 24.663061582342152, 51.91280597212108, 120.62931421290955]","[21.956784025923156, 17.36987299439271, 9.751769481152037, 15.872760578967334, 9.679527356047853, 9.217365589314923, 45.81224894562786, 5.523781381826721]"
1213,"[1213, 1213, 1213, 1213, 1213, 1213, 1213, 1213]","[115, 252, 395, 490, 677, 913, 1033, 1375]","[37.0199768158611, 38.74582790753692, 38.704035739730614, 61.56929311422016, 65.50531111634473, 24.669592381018106, 56.6007779632921, 123.25725329743477]","[21.780459468938478, 17.462838787695805, 9.835415345712224, 15.705874157065573, 9.669808422466637, 8.813888778762097, 45.66596655766249, 5.525182042168887]"
1214,"[1214, 1214, 1214, 1214, 1214, 1214, 1214, 1214]","[115, 253, 395, 489, 677, 914, 1033, 1375]","[36.494050255826465, 41.38665973617242, 38.13803569912744, 60.807311735864516, 65.64099942715723, 25.23497098873645, 65.70976318003386, 188.07336750950526]","[21.43059303721014, 17.711660544016375, 9.907163570862703, 15.698766089555157, 9.671290426257547, 7.680257990271655, 45.48665236676967, 5.497234191944289]"
1215,"[1215, 1215, 1215, 1215, 1215, 1215, 1215, 1215]","[115, 253, 396, 489, 677, 916, 1034, 1375]","[36.5397797042221, 47.4527842678674, 37.43868827110259, 60.42610509555641, 65.56679674260636, 23.109405739446743, 70.27601415220931, 119.40396994129469]","[21.27818130777251, 17.857621679852855, 9.88271450646374, 15.746165730442279, 9.634505534803777, 6.20900511531526, 45.91539167380684, 5.47626645539391]"
1216,"[1216, 1216, 1216, 1216, 1216, 1216, 1216, 1216]","[115, 253, 396, 489, 676, 916, 1035, 1376]","[37.05856224940767, 50.20360647641712, 36.3593071700779, 58.66079175766066, 66.12938520630587, 23.441427607732635, 71.64681435897194, 115.52180383844052]","[21.229187566150706, 17.70535587630045, 9.867466515655723, 15.866199152787246, 9.808376967693402, 6.012837241159762, 45.40919884654784, 5.566864175701224]"
1217,"[1217, 1217, 1217, 1217]","[126, 208, 496, 1037]","[194.97272863439377, 43.78353115860355, 94.63853765793385, 71.39124960664981]","[128.6286092948488, 123.93788670964828, 93.05910801495857, 51.31410693839118]"
1218,"[1218, 1218, 1218, 1218]","[125, 210, 499, 960]","[54.31892872732591, 43.90228409183172, 105.97988705739334, 33.09957823660466]","[679.2334477795832, 642.9687518329388, 436.6937294116719, 81.65130741947704]"
1219,"[1219, 1219, 1219, 1219, 1219]","[124, 210, 416, 500, 960]","[49.52696846249873, 43.64813399515177, 26.840610758745527, 87.11568357356464, 32.918900990996804]","[798.813843698119, 738.0344632755839, 399.7588957109207, 490.7429275572976, 94.09821865313052]"
1220,"[1220, 1220, 1220, 1220, 1220]","[124, 210, 416, 500, 960]","[49.58664908610187, 43.6213493952784, 26.76579789653323, 88.15992240242832, 32.88268988572099]","[797.119874149225, 737.6021416382614, 399.17543110935884, 489.26235189456816, 93.93181628091489]"
1221,"[1221, 1221, 1221, 1221, 1221]","[124, 210, 416, 500, 960]","[49.589332860606035, 43.57425059921047, 26.777727698775834, 88.09967813527919, 32.83121931766061]","[797.0319857888568, 737.4100205027687, 398.99378846991516, 489.19356042781504, 93.70144590885337]"
1222,"[1222, 1222, 1222, 1222, 1222]","[124, 210, 416, 500, 960]","[49.596882616016984, 43.5337590381381, 26.804167602528935, 88.0644325050996, 32.838243211774625]","[797.0012898532259, 737.495594529181, 398.9469796655245, 489.0891326994175, 93.2991245525703]"
1223,"[1223, 1223, 1223, 1223, 1223]","[124, 210, 416, 500, 960]","[49.598763070822656, 43.51816808698004, 26.805501338165584, 88.04286239983145, 32.78510030814641]","[796.943756932191, 737.7175377169639, 398.7998109212201, 488.9416363894042, 93.04106651213101]"
1224,"[1224, 1224, 1224, 1224, 1224]","[124, 210, 416, 500, 960]","[49.6015599951364, 43.525977310906, 26.79288642575824, 87.91777276683678, 32.72883383307624]","[796.8248080665255, 737.6799118095424, 398.6261288530145, 488.86162165393307, 92.93017114072624]"
1225,"[1225, 1225, 1225, 1225, 1225]","[124, 210, 416, 500, 960]","[49.590364949008006, 43.520897485363776, 26.7784150259464, 87.78014323835635, 32.68334378503437]","[796.9144986725985, 737.6369196551664, 398.5750336120611, 488.82899061363247, 92.55522475509866]"
1226,"[1226, 1226, 1226, 1226, 1226]","[124, 210, 416, 500, 959]","[49.583602666403365, 43.50509989578421, 26.788438041525694, 87.39878197149483, 32.643565197253906]","[796.9505280264418, 737.6056832848096, 398.5386031220367, 488.8050911075608, 92.049450483908]"
1227,"[1227, 1227, 1227, 1227, 1227]","[124, 210, 416, 500, 959]","[49.58030046397211, 43.500554999216064, 26.811991772291037, 87.07757437967922, 32.61502344424241]","[796.8822635035029, 737.5074448428134, 398.4250091757183, 488.7805693709591, 91.93870228136088]"
1228,"[1228, 1228, 1228, 1228, 1228]","[124, 210, 416, 500, 959]","[49.55157081070348, 43.52590570828929, 26.774909258621904, 87.23110628680024, 32.56662436691124]","[796.8479890538053, 737.5711237120952, 398.23705382104947, 488.7656380625742, 91.73450422935441]"
1229,"[1229, 1229, 1229, 1229, 1229]","[124, 210, 416, 500, 959]","[49.55506460345758, 43.528670475117394, 26.779014726021842, 86.85568227076993, 32.46410999125612]","[796.7926654196564, 737.7102346169967, 398.0528736114638, 488.7993606262041, 91.58759979832351]"
1230,"[1230, 1230, 1230, 1230, 1230]","[124, 210, 416, 500, 959]","[49.586599997760345, 43.55935816604941, 26.77326499415034, 86.53508054481523, 32.36065046533918]","[796.7576843902466, 737.9136674076925, 397.97965734321417, 488.830837557313, 91.48321825507212]"
1231,"[1231, 1231, 1231, 1231, 1231]","[124, 210, 416, 500, 959]","[49.59883463730624, 43.58133684767691, 26.7772531257786, 86.17319507589355, 32.24049524308134]","[796.7485392015419, 738.0213204854082, 398.0187792412168, 488.91530761197987, 91.19603797692176]"
1232,"[1232, 1232, 1232, 1232, 1232]","[124, 210, 415, 500, 959]","[49.59677051861742, 43.59418853012738, 26.856357874746436, 86.18441721738401, 32.15476201206434]","[796.7917787447027, 738.1481693781367, 398.1196208269059, 488.89741345743613, 90.98977162285959]"
1233,"[1233, 1233, 1233, 1233, 1233]","[124, 210, 415, 500, 959]","[49.59652361815259, 43.56627656813694, 26.873889257475298, 86.28905921344085, 32.123852900328075]","[796.895868834038, 738.6591762520809, 398.25040556860415, 488.60828029359874, 90.76780943753687]"
1234,"[1234, 1234, 1234, 1234, 1234]","[123, 210, 414, 500, 959]","[46.097507501450934, 43.463368830288715, 29.089913216262858, 73.17211029351597, 32.938935252321585]","[607.7457381841807, 540.3291754737063, 296.80481223382753, 354.86980668142115, 67.06971242300988]"
1235,"[1235, 1235, 1235, 1235, 1235]","[120, 210, 410, 500, 959]","[38.689277274461915, 43.07285902597647, 36.19998880893695, 47.23990265091419, 33.978496620367196]","[77.77866836799012, 60.463563032860954, 34.41434105866229, 37.52830421177516, 8.026974747977082]"
1236,"[1236, 1236, 1236]","[90, 194, 343]","[18.935364126455895, 42.829391666671626, 114.53532134962859]","[3.513130304791206, 4.978756703386439, 3.7011268168488667]"
1237,"[1237, 1237, 1237, 1237, 1237]","[89, 198, 347, 656, 856]","[18.5204077851034, 46.29961448962405, 116.38858042915439, 23.634499840448143, 39.97342473008791]","[3.4283319747549887, 5.640677890255446, 3.9312935262678406, 1.820425420083918, 1.0477879803639276]"
1238,"[1238, 1238, 1238, 1238, 1238]","[89, 200, 348, 657, 855]","[18.76045693368208, 48.800743567557106, 116.36877343363517, 30.55275809768318, 34.421594170538924]","[3.5255226890226234, 6.388685564031124, 4.2285561729543515, 3.7727376499887835, 1.4774000930781632]"
1239,"[1239, 1239, 1239, 1239, 1239]","[89, 200, 293, 658, 855]","[19.249734055151293, 58.21482609584561, 115.32481445611688, 32.36827639245189, 32.30443058721744]","[3.708219614740361, 7.098200163177639, 4.380768581933698, 6.013548537838644, 1.5106966638996613]"
1240,"[1240, 1240, 1240, 1240, 1240]","[90, 222, 658, 853, 985]","[21.746545713748745, 59.607412884294575, 34.83496513630723, 31.457249633653078, 37.19755293759056]","[3.698774233972052, 7.892152890326413, 7.189898073973137, 1.5456572805425135, 1.2557880939236825]"
1241,"[1241, 1241, 1241, 1241, 1241]","[91, 223, 658, 853, 985]","[25.165072247499523, 60.35667453042089, 38.33697191969452, 30.367177917583035, 48.34804060764657]","[3.6774575962898477, 8.123342634235048, 7.8694443518321915, 1.610285799823197, 1.356399790654969]"
1242,"[1242, 1242, 1242, 1242, 1242]","[91, 223, 658, 853, 985]","[25.39621167673026, 60.26343424537055, 39.391434158685456, 29.399323652580847, 53.291085728035]","[3.8702903840968736, 8.402002408318705, 8.31898598973177, 1.643100773171853, 1.4329299961562105]"
1243,"[1243, 1243, 1243, 1243, 1243, 1243]","[14, 93, 224, 658, 853, 1035]","[10.656126470811467, 26.553933508477357, 62.24975186345094, 39.98394635587374, 28.383061315765644, 41.25524451732372]","[44.76516651645238, 3.788519890868703, 8.537099688317431, 8.581845245955558, 1.6711133222391, 2.710716634192832]"
1244,"[1244, 1244, 1244, 1244, 1244, 1244]","[16, 95, 224, 658, 854, 1035]","[12.80460463141945, 27.031633278550018, 64.18689009449471, 40.719128631369585, 26.051913655094268, 42.364670612371356]","[48.66043657773398, 3.6368531413924674, 8.637084688093177, 8.884608539920048, 1.6812959017738396, 5.836464784914156]"
1245,"[1245, 1245, 1245, 1245, 1245]","[17, 95, 225, 658, 1039]","[13.444176839055551, 27.263181157097776, 65.31744785362156, 41.479931757113945, 46.099016223824606]","[52.11544798654728, 3.652470434278041, 8.689522405633596, 9.047315503920572, 8.635054100314166]"
1246,"[1246, 1246, 1246, 1246, 1246, 1246, 1246]","[17, 95, 225, 420, 522, 658, 1040]","[13.42773932257775, 28.64152618288368, 68.08782771114485, 27.538391190136792, 20.23931170382008, 41.18445024148889, 44.35846191035398]","[53.10673148568145, 3.5672225018200834, 8.53322908591981, 3.7871073912378748, 3.3653682149138824, 9.069326307080999, 13.494278616510986]"
1247,"[1247, 1247, 1247, 1247, 1247, 1247, 1247]","[17, 94, 227, 420, 521, 658, 1040]","[13.941406387515524, 30.4198308961861, 69.31864937373555, 45.291389096535056, 22.155572942494246, 40.637097993323096, 48.61232008254831]","[53.17191535831019, 3.5268670056959373, 8.612744534598594, 3.8121395844721326, 3.513153860092996, 9.06487123603174, 17.037986921125558]"
